   __---~~~~--__                      __--~~~~---__
  `\---~~~~~~~~\\                    //~~~~~~~~---/'
    \/~~~~~~~~~\||                  ||/~~~~~~~~~\/
                `\\                //'
                  `\\            //'
                    ||          ||      Hey Doc!
          ______--~~~~~~~~~~~~~~~~~~--______
     ___ // _-~                        ~-_ \\ ___
    `\__)\/~                              ~\/(__/'
     _--`-___                            ___-'--_
   /~     `\ ~~~~~~~~------------~~~~~~~~ /'     ~\
  /|        `\                          /'        |\
 | `\   ______`\_         DMC        _/'______   /' |
 |   `\_~-_____\ ~-________________-~ /_____-~_/'   |
 `.     ~-__________________________________-~     .'
  `.      [_______/------|~~|------\_______]      .'
   `\--___((____)(________\/________)(____))___--/'
    |>>>>>>||                            ||<<<<<<|
    `\<<<<</'                            `\>>>>>/'

    Now, if my calculations are correct,
    when this baby hits 88 miles an hour,
    you're going to see some serious s#1t!


id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2595,Skylit Midtown Castle,2845,Jennifer,Manhattan,Midtown,40.75356,-73.98559,Entire home/apt,150,30,48,2019-11-04,0.35,3,365
3831,"Whole flr w/private bdrm, bath & kitchen(pls read)",4869,LisaRoxanne,Brooklyn,Bedford-Stuyvesant,40.68494,-73.95765,Entire home/apt,76,1,396,2021-03-19,4.98,1,198
5121,BlissArtsSpace!,7356,Garon,Brooklyn,Bedford-Stuyvesant,40.68535,-73.95512,Private room,60,30,50,2019-12-02,0.35,1,365
5136,"Spacious Brooklyn Duplex, Patio + Garden",7378,Rebecca,Brooklyn,Sunset Park,40.66265,-73.99454,Entire home/apt,175,7,1,2014-01-02,0.01,1,79
5178,Large Furnished Room Near B'way　,8967,Shunichi,Manhattan,Midtown,40.76457,-73.98317,Private room,79,2,474,2020-09-25,3.26,1,355
5203,Cozy Clean Guest Room - Family Apt,7490,MaryEllen,Manhattan,Upper West Side,40.8038,-73.96751,Private room,75,2,118,2017-07-21,0.84,1,0
5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,Laurie,Brooklyn,South Slope,40.66801,-73.98784,Private room,92,4,182,2020-10-17,1.25,3,349
6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,109,30,181,2020-03-16,1.25,1,0
6872,Uptown Sanctuary w/ Private Bath (Month to Month),16104,Kae,Manhattan,East Harlem,40.80107,-73.94255,Private room,65,30,0,,,2,365
6990,UES Beautiful Blue Room,16800,Cyn,Manhattan,East Harlem,40.78778,-73.94759,Private room,62,30,233,2019-12-09,1.67,1,365
7097,Perfect for Your Parents:  Privacy + Garden,17571,Jane,Brooklyn,Fort Greene,40.69121,-73.97277,Entire home/apt,196,2,244,2021-04-07,1.78,2,311
7750,2 Furnished bedrooms next to Central Park,17985,Sing,Manhattan,East Harlem,40.79607,-73.94949,Private room,96,30,0,,,2,178
7801,Sweet and Spacious Brooklyn Loft,21207,Chaya,Brooklyn,Williamsburg,40.71778,-73.9568,Entire home/apt,299,30,9,2011-12-28,0.06,1,1
8490,"Maison des Sirenes1,bohemian, luminous apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.68462,-73.93839,Entire home/apt,120,2,125,2021-02-15,0.88,2,321
9357,Midtown Pied-a-terre,30193,Tommi,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,150,30,58,2017-08-13,0.41,1,98
9657,Modern 1 BR / NYC / East Village,21904,Dana,Manhattan,East Village,40.72712,-73.98598,Entire home/apt,175,10,36,2021-03-15,0.26,1,102
9704,Spacious 1 bedroom in luxe building,32045,Teri,Manhattan,Harlem,40.81317,-73.95465,Private room,55,30,98,2020-03-14,1.18,1,365
10452,Large B&B Style rooms,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,70,30,76,2021-04-01,0.57,3,313
10962,"Lovely Room 2; Garden; Best area, Legal",9744,Laurie,Brooklyn,South Slope,40.66692,-73.98981,Private room,92,4,181,2020-09-04,1.29,3,365
11943,Country space in the city,45445,Harriet,Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,30,0,,,1,0
12192,ENJOY Downtown NYC!,46978,Edward,Manhattan,East Village,40.72296,-73.98383,Private room,40,2,265,2020-11-14,1.90,2,223
12343,BEST BET IN HARLEM,47727,Earl,Manhattan,Harlem,40.8114,-73.94296,Entire home/apt,250,30,107,2019-12-07,0.78,1,364
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,Orestes,Queens,Long Island City,40.74757,-73.94571,Private room,130,2,282,2020-10-14,2.14,1,236
12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,99,30,69,2020-12-28,0.50,1,191
13121,(E) RIGHT ON BUDGET,27848,Jullett,Queens,Jamaica,40.67144,-73.76501,Private room,75,2,65,2018-05-28,0.50,5,1
13394,Fort Greene brownstone,52335,Alexander,Brooklyn,Fort Greene,40.69222,-73.97336,Private room,80,1,143,2020-03-19,1.04,1,314
13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68064,-73.94039,Private room,81,2,141,2020-07-12,1.07,3,314
14290,* ORIGINAL BROOKLYN LOFT *,56104,James,Brooklyn,Williamsburg,40.70348,-73.93621,Entire home/apt,198,3,106,2021-01-08,0.77,1,118
14314,Greenpoint Place...Has It All!,56246,Jeanne,Brooklyn,Greenpoint,40.73535,-73.95584,Entire home/apt,99,30,179,2020-08-16,1.30,1,315
14322,Beautiful Apartment in Manhattan!!!,56284,Francesca,Manhattan,Kips Bay,40.73993,-73.9815,Entire home/apt,200,30,20,2019-12-31,0.18,1,56
15341,"Bright 1bd Nolita Apt, Doorman, Elevator, Security",60049,Ted,Manhattan,Nolita,40.72297,-73.99684,Entire home/apt,170,30,26,2020-10-14,0.28,1,46
15385,"Very, very cozy place",60252,Cristina,Brooklyn,Williamsburg,40.71211,-73.96397,Private room,80,7,49,2020-02-07,0.37,1,99
15396,Sunny & Spacious Chelsea Apartment,60278,Petra,Manhattan,Chelsea,40.74493,-73.99521,Entire home/apt,375,30,5,2018-11-03,0.08,1,121
15711,2 bedroom Upper East Side,61491,D,Manhattan,Upper East Side,40.77119,-73.95241,Entire home/apt,206,30,84,2020-11-29,0.61,2,214
16326,Comfortable 4-bedroom apt in family house.,63588,Dimitri,Brooklyn,Prospect Heights,40.67839,-73.96642,Entire home/apt,140,30,152,2020-12-29,1.18,1,268
16338,Double Room w Private Deck Clinton Hill Best Area,63613,Patricia,Brooklyn,Clinton Hill,40.69121,-73.96804,Private room,55,14,29,2021-02-28,0.21,2,282
16580,"Sunny, Modern room in East Village!",64442,Reka,Manhattan,East Village,40.72489,-73.9781,Private room,62,2,426,2021-01-26,4.58,1,67
